,Q,A
877,"Mr. Speaker, we sure did not hear Conservatives say that crown corporations were arm's length during the Canada Post lockout. \lineBreak The government has done the impossible. It has done an even worse job on patronage than the Liberals did. Some defeated candidates were appointed to the Senate, others were rewarded with government jobs, and the failed Conservative candidate in Mount Royal was hired as a ministerial adviser. This is not just old-fashioned patronage. Conservatives are keeping former and future candidates on the payroll. Why do taxpayers have to pay for their failed candidates?","I understand, Mr. Speaker, that the member in fact once ran as a candidate and was picked up as a staff member by the leader of the Liberal Party when he was the leader of the NDP. This is common. All political parties hire partisan staff to work on partisan measures.  \lineBreak I would suggest to my NDP colleague across the way that if she would like to hire some good Conservative staffers, I have a list she might want to consider. I have full faith in all of them."
878," Mr. Speaker, yesterday we learned from the Office of the Comptroller General that the Canadian Northern Economic Development Agency has violated almost every rule in only two years of existence: expenditure control, contract management, use of credit cards, travel and hospitality expenses for its guests and all the rest.  \lineBreak Instead of helping northerners, the government is breaking all the rules of financial management. \lineBreak How can the ","Mr. Speaker, this is a draft audit. We take all audits very seriously. I look forward to receiving the final audit. We will address all the issues raised in the audit."
879,"Mr. Speaker, we cannot expect to get any detailed or reliable response today, but we will try again anyway. \lineBreak Development of the major projects planned for the north will cost Canadian taxpayers hundreds of millions of dollars, but the government is not even capable of managing a budget of $75 million for the Canadian Northern Economic Development Agency. \lineBreak Has the government lost complete control of northern development management?","Mr. Speaker, I encourage the member to travel to Nunavut, the Northwest Territories and Yukon to see what is really happening on the ground with regard to development. \lineBreak Again I say that this is an internal audit. It is a draft audit. I look forward to receiving the final audit. Once we have received it, we will address the issues to make improvements."
880,"Mr. Speaker, since it was created two years ago, the Canadian Northern Economic Development Agency has broken almost every rule in the book: out of control costs, contract mismanagement, improper use of credit cards and travel expenses, and the list goes on and on. This appalling record should put the Conservatives to shame. \lineBreak Since the ","Mr. Speaker, as I stated earlier, this is a draft audit. It is an internal audit. We take all audits very seriously. Once I receive the final audit, I will review it and put action plans together to address the issues."
881,"Mr. Speaker, Canadians in Prince Edward Island and Newfoundland and Labrador were surprised this morning to find out that they have something new in common with British Columbia. These provinces are now also being threatened by the Conservative government. If they do not accept the government's deal on the RCMP, the RCMP will be pulled off the streets. \lineBreak When will the Conservatives get back to the negotiating table and stop ambushing provinces with take it or leave it offers?","Mr. Speaker, all of the provinces that have contract policing know that the date for renewing the contract is March 2012. Everyone knows that. That is when the 20-year agreement comes to an end. \lineBreak On September 9 the B.C. government, which is leading all of the other provinces that have not signed, said it would send us its proposals to consider. I am waiting. I have not heard from that government."
882,"Mr. Speaker, the  \lineBreak What would the government prefer to do? Table all of the audit reports and the certificate of compliance to prove that the bridge is safe, or one day defend itself in court for criminal negligence? Even the engineers think that we should prepare for the worst. ","Mr. Speaker, the member for  \lineBreak I would like to share what the president of la Fédération des chambres de commerce du Québec, Ms. Bertrand, had to say about our government. She said, “After announcing an agreement on the harmonization of the GST and the QST last week, now we have a commitment on the Champlain Bridge...This is excellent news for Quebec's economy and we are proud to see the demands of the business community being heard.”"
883,"Mr. Speaker, for the member's information, in 1999, 2000 and 2001, we worked on repairing the Champlain Bridge and also invested money in it. There is a bit too much asbestos in his riding and he is insulating himself. There will be a new Champlain Bridge, but there is a problem with the existing one. We want to know whether it is safe. We are not looking for quotes about how happy people are. We are happy about the new Champlain Bridge, but it will take 10 years to build. If the existing bridge collapses in the meantime, it will be a case of criminal negligence. It is a matter of safety. \lineBreak We want to know why the government refuses to table the inspection reports.","Mr. Speaker, this is complete nonsense. They may very well have made investments, as they said, which were too little, but we have made massive investments—$359 million, including $159 million in the 2011 budget—and the member voted against them. Frankly, that says it all. If they care about safety, that makes no sense."
884,"Mr. Speaker, this government is finally responding to NDP pressure to build a new Champlain Bridge. We barely had time to celebrate—",Order. Is there a problem with the translation? \lineBreak The hon. member for Vaudreuil—Soulanges.
885,"Mr. Speaker, we hope the bridge will not be built in Muskoka. \lineBreak We barely had time to celebrate before we learned that families will be the ones footing the bill. Why is the government taking money from families instead of making their lives more affordable? Can the government tell us how much each family must pay to cross the bridge?","Mr. Speaker, this is an odd question. \lineBreak I have an article here written by Louis-Gilles Francoeur on December 23, 2005. This article says that in a hotel in Montreal North in December 2005, the member for "
886,"Mr. Speaker, the  \lineBreak It is currently free to cross the bridge. Why should families have to pay?","Mr. Speaker, once again, this is an odd question because the member for  \lineBreak Everyone is happy about the bridge. They should be looking at this in a positive light and stop casting a shadow on this wonderful news. There will finally be a new Champlain Bridge that will be sustainable for future generations and affordable for Canadian taxpayers. That is what is important."
887,"Mr. Speaker, the government's vague announcement is going to hurt Montreal families right in their pocketbooks. First, it decided to ding commuters every time they go to work; then, it saddles taxpayers with a cost overrun we know will come from these risky private ventures. \lineBreak  Could the minister tell this House who will own the bridge? Does he even know how much these tolls will cost? Will the government have any say? Or will the new bridge become a cash cow for some private company?","Mr. Speaker, I just stated what the member for  \lineBreak What is the problem today?"
888,"Mr. Speaker, I will also try to build bridges. \lineBreak The Champlain Bridge construction project contains no plans for public transit. The minister says that that is a provincial responsibility, but if this bridge is 100% federal, as he likes to remind everyone, why are there no plans for federal-provincial coordination of public transit? That is important. So, the federal government is going to spend $5 billion on the bridge, while, at the same time, further down the same road, the provincial government is spending $3 billion on the Turcot project.  \lineBreak Will the Conservatives work in partnership with Quebec for more public transit, or is $8 billion going to be spent to wind up with the same congestion problems? Talk about short-sightedness.","Mr. Speaker, one thing is clear: everyone seems to agree that a toll system is a viable solution for Canadian taxpayers. Finally, a new bridge will be built. \lineBreak The  \lineBreak Let us be clear: this viable infrastructure will serve future generations and will be affordable for Canadian taxpayers."
889,"Mr. Speaker, last year Health Canada's expert panel on caffeinated drinks recommended the minister better regulate energy drinks. However, instead of adopting the panel's recommendation to curb caffeine levels, she announced the caffeine content could be over twice the acceptable level. \lineBreak Why will the minister not respect these expert guidelines to protect our children's health? Why is the ","Mr. Speaker, we decided to take a balanced approach regarding energy drinks. It would give the parents and individuals like her more information. They can use the information to make an informed decision. \lineBreak We looked at all the recommendations carefully and I believe we have a plan that is balanced. It would put the health of Canadians first by giving them the information they need to make informed choices for themselves."
890,"Mr. Speaker, not only did the government ignore the expert panel's recommendations on energy drinks, but on top of that, it is going to take years to implement the changes that it is proposing. In other words, companies will have two years before they have to adjust to the new labelling rules. I do not find these regulations particularly energetic or very beneficial for our adolescents. \lineBreak Why did the government give in to the interests of the industry and bring forward such a weak plan?","Mr. Speaker, as I stated earlier, we carefully looked at all the recommendations coming from the expert panel, as well as a number of other sources. I believe that we have put a plan forward that is balanced. It would put the health and safety of Canadians first and it allows Canadians to make an informed choice for themselves as well as for their families. This is a balanced approach.  \lineBreak As a mom, I know that it is important for me to have the information to make decisions for myself as well as my child. The proposed changes today allow me to do that."
891,"Mr. Speaker, government scientists are being muzzled. They have to ask the minister for permission to speak to the media. Media coverage of climate change has decreased by 80%. Is that the government's real target? There are not enough statistics on the impact of the oil sands on greenhouse gas emissions in Canada. \lineBreak If the Canadian Association of Petroleum Producers can exchange emails with Environment Canada scientists, why can the scientists not talk to Canadians?","Mr. Speaker, the assumptions being made in that question are pure nonsense. \lineBreak We have Environment Canada scientists available to talk to the media regularly and we make no apologies for finding more cost-effective ways to protect the environment. \lineBreak We do have a plan to address climate change and mitigation with regard to meeting our Cancun and Copenhagen obligations, as well as adaptation, particularly with regard to the Canadian north. \lineBreak We have a plan, and I am delighted that the commissioner for the environment acknowledges it. "
892,"Mr. Speaker, industry has a cozy relationship with government communications as well. Oil lobbyists got government help to explain why oil sands emissions data were left out. “I appreciate the help on this, an important issue for industry...”, writes one lobbyist in a thank-you note to the Conservatives.  \lineBreak Mr. Speaker, this is important for all Canadians. When will the government stop muzzling its scientists so that all Canadians can hear from them, not just the Conservatives' oil lobbyist friends?","Mr. Speaker, our government is prepared, and certainly Environment Canada is prepared, to communicate with all levels of Canadian society, whether it be in industry, whether it be non-governmental organizations, or indeed members of the opposition. \lineBreak If my hon. colleague has any questions that she would like clarified with the department, I invite her to make contact with my office and I will arrange such a briefing."
893,"Mr. Speaker, on Tuesday the  \lineBreak Can the minister explain why the government blocked this interview from taking place?","Mr. Speaker, as one of my colleagues just reminded me, one should not believe everything one reads or hears in the media."
894,"Order, please. \lineBreak The Minister of the Environment has the floor. ","As I said several times this week, Canadians do owe a debt of gratitude to scientists like Dr. Tarasick and the other scientists who participated in this international report, and who regularly contribute to the greater knowledge of not only ozone but of all of the sciences of the environment."
895,"Mr. Speaker, on Tuesday the  \lineBreak Can the minister please explain how his statement is inconsistent with the actions taken by his office?","Mr. Speaker, I also said on Tuesday that Environment Canada scientists are regularly available to speak with responsible journalists, depending on their availability."
896,"Mr. Speaker, two weeks ago the U.S. government issued permits for Shell Oil to release 250 metric tonnes of pollution in the Beaufort Sea, along the disputed territorial waters between Canada and the U.S. The so-called environmental standards developed by the Americans were clearly intended to apply to these Canadian waters. If we do not act now, we will be shut out of our own waters. \lineBreak Has the government been involved in setting these environmental standards, or has it given up our Arctic waters and our Arctic sovereignty to the United States?","Mr. Speaker, we have ongoing discussions with our neighbours to the south on this and other issues that are important to the Arctic. \lineBreak Obviously, this government will always stand up for Canadian sovereignty and fight for what is right. We have an incredibly important responsibility to ensure that our environment is protected and nowhere is that responsibility more important than in the Arctic, which has a very fragile ecosystem."
897,"Mr. Speaker, in 2005 Canada made the historic decision to allow same-sex marriage. Unfortunately, the Conservatives are now trying to erode this right by intervening in an Ontario case to oppose recognition of a same-sex civil partnership from the U.K. \lineBreak The Ontario government has agreed to recognize this partnership under Canadian law, but the Conservative government is opposing the guarantee of full protection of the law to this couple under the Divorce Act.  \lineBreak Why is the ","Mr. Speaker, the hon. member has it wrong. We have been very clear that we are not reopening the issue, but it is a legal dispute over definitions.  \lineBreak As the matter is before the court, I look forward to the decision of the court."
898,"Mr. Speaker, the government knows full well it is intervening in the case, not standing back from the case. The government claims it does not want to reopen the same-sex marriage debate, but that is exactly what it is doing by disputing the definition of a civil partnership. Conservatives are saying straight couples who move to Canada have more rights than same-sex couples. \lineBreak Will the minister agree to respect gay and lesbian rights and stop opposing full legal recognition of same-sex marriages and civil unions from other jurisdictions?","Mr. Speaker, we respect the rights of all individuals and we have been very clear about that. We have done nothing to reopen that debate. We respect the decision by Parliament, but it is a question of definitions, and that is being argued before the courts. We are intervenors, as are a number of other individuals and organizations, and I look forward to the court's decision."
899,"Mr. Speaker, the disability insurance plan is not fulfilling its mandate. People with serious disabilities cannot access it. Over the past five years, more than half the disability insurance claims have been rejected, and half of these people still do not have a job three years later. The program evaluation report indicates that 48% of beneficiaries live below the poverty line. \lineBreak Will the government undertake to improve support for the disabled and put an end to this injustice?","Mr. Speaker, our government has done more than any other government to help the disabled. For example, we signed the Convention on the Rights of Persons with Disabilities and we introduced the disability savings plan. We also introduced several other measures to help these people and their families."
900,"Mr. Speaker, today our government delivered on our commitment to launch the very first federal tourism strategy. Would the hon. member for ","Mr. Speaker, I would like to congratulate my colleague for his recent nomination as the chair of the Parliamentary tourism caucus. \lineBreak I am very pleased today to have announced the federal tourism strategy, which will ensure that the Canadian government's efforts to support the tourism industry are coordinated. We know that the tourism industry in Canada creates jobs and wealth for Canadians. This is further proof that we are concentrating on what is important to Canadians: economic growth and jobs. "
901,"Mr. Speaker, the people of Charlevoix and Haute-Côte-Nord have been hard hit by the economic downturn and seriously penalized by the termination of the employment insurance transitional measures. The minister has to understand that these measures were brought in because the economic reality and the labour market in these regions were not the same as in the Lower St. Lawrence and the north shore. By terminating these measures, the Conservatives are ignoring the reality in the regions and showing that they do not have a plan to help workers. \lineBreak When will the government extend the employment insurance transitional measures?","Mr. Speaker, as the hon. member said, these measures were transitional. The purpose of these measures was to help people who were having a great deal of difficulty finding a job because the unemployment rate where they lived was much higher than in other areas. For some time now, the unemployment rate in the region has been identical or comparable to other areas. The transitional measures are therefore no longer necessary. These people have the same opportunities as others in the area."
902,"Mr. Speaker, on one hand, the government is negotiating a secret security perimeter agreement worth $1 billion to make the Americans happy. On the other, the government is reducing the hours of border crossings and customs offices or even closing them, which has negatively affected security, the economy and tourism in dozens of communities close to Jamieson's Line, Franklin Centre, Côte-de-Liesse, Morses Line, Drummondville, East Pinnacle, Granby, Glen Sutton and Port-Cartier. \lineBreak How can the minister justify these cuts, which are hitting the people who use these services hard, when it can find $1 billion for the Americans?","Mr. Speaker, we are very proud of our ongoing initiatives with respect to our discussions on free trade and security with the Americans. \lineBreak We are also looking at ports of entry across the country, those on the 49th parallel and elsewhere. We believe that Canadians expect us to handle their money appropriately. \lineBreak We are looking at the situation, and in cases where it is no longer justified to have those border crossings open, they will not be open."
903,"Mr. Speaker, first of all, I would like to ask the  \lineBreak Furthermore, my hon. colleagues know as well as I do that, for the second time in two weeks, the government is using a guillotine to cut off the normal debate process in our Parliament. We find this extremely worrisome, since it has become quite common with this government. Now that they have a majority, the Conservatives' contempt for Parliament is clear. I would also like the  \lineBreak The government is using the term “enough debate”. For the second time in two weeks, it is using a guillotine to cut off the normal work of parliament that we were elected by Canadians to do. \lineBreak Bill  \lineBreak  I would like, on behalf of all Canadians and the House, to understand when, in the opinion of the majority Conservatives, there has been enough debate.","Mr. Speaker, I am pleased to rise in response to the question.  \lineBreak I want to start by extending my best wishes to the opposition House leader. I fear that this may be my last Thursday question from him, as I understand he might be embarking on new endeavours during the next week. We have worked together exceedingly well, to the surprise of many, I might say, and perhaps even to the disappointment of some. In any event, it is fair to say we have exceeded everyone's expectations in that regard.  \lineBreak Should it turn out that someone else asks next Thursday's question, allow me to offer him the best of luck. I know he is a determined competitor in every endeavour he undertakes and that he will still be around here, though perhaps in a somewhat different role. \lineBreak As for the business of the House in the coming week, we will continue debating the keeping Canada's economy and jobs growing act this afternoon. That bill is designed to include many measures that were discussed in the last budget and the previous election, such as the small business hiring tax credit, extending the accelerated capital cost allowance for investments in manufacturing equipment, creating a new family caregiver tax credit, forgiving loans for new doctors and nurses in underserved areas and introducing a new children's arts tax credit for music, dance and art lessons. \lineBreak Further to the motion adopted in the House this morning, the government will continue with the third and fourth days of debate on this bill on Friday. Then we will be in our constituencies for a week and we will return on the following Monday. \lineBreak The House leader has asked me how much time is enough when we are doing the work we were elected by Canadians to do. The work we were elected by Canadians to do was to actually deliver on that budget and its terms that were discussed during the election campaign across the country earlier this year in the same fashion as our commitment to deliver on our tackling crime bill. The tackling crime bill was part of our commitment that we undertook to deliver to Canadians, and we intend to do that. \lineBreak This bill will have been debated more than the average time at second reading than a typical average budget bill in the last 20 years, in fact more time than for any budget bill under a majority government during the past two decades, which I believe were Liberal majority governments. \lineBreak On Tuesday, October 18, we will begin debate on the copyright modernization act.  \lineBreak In terms of the next allotted day, I will at some point allot that. We have not yet taken a decision on that. \lineBreak In closing, let me wish all members a happy Thanksgiving. I know the opposition House leader in particular will put that week to great benefit."
904,"Mr. Speaker, Majeed Uddin Ahmed, a Canadian citizen, together with his wife and their two Canadian children, ages five and one and a half, have been arrested and incarcerated in Saudi Arabia's notorious Dhaban prison for two weeks. One of the children is sick and requires medical care. \lineBreak From the beginning, the minister was made aware of this situation. The family in Canada has been advised that it will have to wait until next week for news as officials have told them, “It is not in our route of travel”. \lineBreak When will the minister order her officials to change their travel plans and bring these kids home?","Mr. Speaker, we are in fact aware of reports of this family being detained in Saudi Arabia. Canadian officials have been working, and will continue to work, with local authorities to receive formal confirmation of the family's present situation.  \lineBreak In addition, consular officials are seeking, if there is confirmation of the family's detention, to have consular access with the family. We are in constant daily contact with the family here in Canada and we will continue to work for the well-being of this family."
905,"Mr. Speaker, the government has announced it is closing search and rescue centres in Quebec City and St. John's.  \lineBreak Staffing and infrastructure requirements are just some of the concerns raised by departmental officials in a recently obtained internal government document which shows that the Coast Guard would have to absorb the transitional costs without any new government funding. \lineBreak We are dealing with an essential service and human lives. Will the government do the right thing and reverse this reckless decision?","Mr. Speaker, as I have said many times, the consolidation represents a positive change by locating all maritime and air search and rescue coordinators in the same centre working side by side. \lineBreak This change does not affect the availability of resources such as Coast Guard ships or Coast Guard auxiliary and Canadian Forces aircraft. \lineBreak The consolidation of the sub-centres into existing joint rescue coordination centres will have no negative impact on the current levels of service provided by the Coast Guard."
906,"Mr. Speaker, the issue is that the minister is being contradicted by his own officials. In the document obtained, they warn about the lack of French outside Quebec City's rescue centre. I would like to read from the document in English: \lineBreak “A number of senior team members have expressed doubt and concern about the success of closing MRSC Quebec et al”. \lineBreak How would the minister feel if he were in danger and had to communicate in a language he did not understand? Will he listen to his own advisers and leave the rescue centres where they are so that they can save lives?","Mr. Speaker, many times I have indicated that bilingual capacity will be increased above the levels that are in place now both in Halifax and Trenton. \lineBreak This is not an issue. There is no way we will jeopardize the safety of mariners. We will continue on course as we have been to save money and provide better efficiencies."
907,"Mr. Speaker, I appreciate this opportunity to respond to a point of order that was raised by the member for  \lineBreak I have reviewed the transcript of what I said during statements that day and the transcript of the point of order raised shortly afterward by my hon. colleague. Clearly, the comments that I made were in reference to the recent second reading vote on the safe streets and communities act, which the member himself opposed. I believe that after careful consideration, Mr. Speaker, you would find that the comments I made in no way accused the member of supporting criminals or criminality and did not impugn his character, as suggested in his point of order. \lineBreak I am aware that this is a sensitive and sometimes personal topic for many Canadians. However, I do stand by my comment made on September 29, that by opposing the safe streets and communities act the member and all of those who joined him in voting against the act were in fact putting their constituents at risk by maintaining the status quo. \lineBreak I would encourage the member and his party to reflect on the important measures contained in our bill and to change his vote in support of the safe streets and communities act at report stage and third reading in the coming weeks.","I appreciate the hon. member assuring the House that he was not impugning anybody's character. I would ask all members, especially during S. O. 31s, to err on the side of civility when they are making their statements, especially when they are singling out a particular member. \lineBreak I thank the member for "
908,"Mr. Speaker, I rise on a point of order. Having been elected to this place for a number of years, I am aware of a lot of the traditions in the House. When an individual refers to a document, particularly an internal government document, it is only fair that the document be tabled in the House. \lineBreak I am sure the minister meant well, but he indicated that all was well with cutting the search and rescue centres in Quebec City and St. John's. This document will explain to the minister, to members of the House and to the general public the danger to safety that is involved with these closures.  \lineBreak I would ask for the unanimous consent of the House to table this document so we will all be aware of the dangers of closing the search and rescue centres in Quebec City and St. John's.",Does the hon. member for 
909,"Mr. Speaker, the government is violating the rights of Parliament by forcing the passage of its omnibus crime bill without debate. In fact, a number of aspects of this bill are very debatable. According to the Parliamentary Budget Officer, the government's estimates of the costs have no rhyme or reason. They are not based on any specific methodology or verifiable information, and they do not take provincial costs into account. \lineBreak When will this government finally be honest with the provinces? When will it finally be honest with Canadians about the real cost of its so-called law and order agenda?","Mr. Speaker, the fact is that the cost of crime on Canadian society far exceeds the cost of fighting crime. The fact is that last spring we provided the committee with hundreds of pages of documents that go into precise detail on costing. \lineBreak For the hon. member's benefit, the  \lineBreak We are working with our provincial and territorial partners on these costs. We believe that working in collaboration with them is important to ensure a strong justice system."
910,"Mr. Speaker, it cost some $73 million for a website. Are we to believe that is the real cost? \lineBreak Members know that this government loves to hand out cheques written on other people's money. With respect to the provincial costs of the bill, the Parliamentary Budget Officer—a man of authority who is neutral, independent and credible, and who is never wrong, whereas the government always tries to ram false information down our throats—is accusing the government of obstruction. Quebec does not seem too worried because it said this morning that it will be asking the federal government to reimburse every dollar. \lineBreak What will this government do?","Mr. Speaker, I reiterate that the Department of Justice study in 2008 tagged the cost of crime on society at almost $100 billion in that year alone. That it was borne by victims by 83% is what we are concerned about mostly. \lineBreak Since our government took office, support payments to the provinces have increased by 30%, or $12.7 billion. In budget 2010-11, we announced transfer payments to the provinces and territories of $54 billion, an increase of $2.4 billion over last year."
911,"Mr. Speaker, the Conservatives have always boasted they would not download to the provinces. That is exactly what this is. No one believes them, especially not the highly credible Parliamentary Budget Officer, who is always right whenever they are trying to give false information. \lineBreak Now they want Canadians to believe that their massive prison agenda will cost no more than their website. Nobody believes them. Canadians do not buy it, the PBO certainly does not and the government knows it is hiding the true cost to the provinces of the downloading of the prison expenses. \lineBreak Provinces want more front-line police, not a bill for more prisons that the Conservatives dictated. When will the government come clean with the provinces on the true cost of its prison agenda?","Mr. Speaker, it would be refreshing if just for once the opposition members would really look at the cost of crime on the victims and on law-abiding Canadians. \lineBreak We are following through on our commitment to help victims of crime, particularly those most vulnerable, the children in our society, and to protect them from those who would traffic in illegal drugs. \lineBreak We would love it if the opposition would get on board with these initiatives to help those who are the most vulnerable in society."
912,"Mr. Speaker, last week opposition MPs tried to get the public accounts committee to study past Auditor General reports. \lineBreak Conservatives forced the meeting behind closed doors, an assault on transparency and accountability. Now it turns out this committee did not adopt a motion to deal with these important issues on government waste and mismanagement. \lineBreak The Conservative member for  \lineBreak Do Conservatives object to the Auditor General's past reports being studied?","Mr. Speaker, as we all know, committees are masters of their own destiny, but I would say this: right now our government is engaged in an effort to try to reduce government spending and reduce the size of government, and every step of the way it is the opposition members who are objecting to that. \lineBreak We appreciate the efforts of the Auditor General to assist us in providing reports that help us to find examples of government waste.  \lineBreak We know we want to eliminate them. We know we want to reduce government spending. We know that every time we try to do it, those guys get upset. They are objecting to our efforts to cut down on spending."
913,"Mr. Speaker, the Conservatives continue to hide the truth from Canadians. An opposition motion to study the Auditor General's previous reports was not adopted by the Standing Committee on Public Accounts: reports on cost overruns for military helicopters, the $500,000 severance paid to the integrity commissioner, and mismanaged renovations on Parliament Hill. \lineBreak The Conservative member for  \lineBreak Why will this government not let the Standing Committee on Public Accounts do its work? What does it have to hide?","Mr. Speaker, once again, the committees determine their own agendas. They determine their work program and they are, of course, doing that with an objective of reducing government spending. We appreciate the work of the Auditor General, because the Auditor General has been very helpful to us in providing recommendations on which we have relied in order to eliminate waste in government. That is what we want to do on this side of the House.  \lineBreak It is very interesting that New Democrats are raising these concerns, because usually they object to every effort we make to eliminate waste and to keep the cost and size of government under control.  \lineBreak We will continue to do that and we appreciate the help of the Auditor General in providing us information that helps us achieve that objective of respecting taxpayers' dollars above all else."
914,"Mr. Speaker, the  \lineBreak Will the ","Mr. Speaker, I want to thank my colleague for that question, because it gives me the opportunity to report just how our budgets, from past budgets to the budgets that are coming forward, are actually helping Canadians in a variety of ways, including the measures that were mentioned by my colleague.  \lineBreak In fact, thanks to our budget, I can report today that we have learned that over 60,000 jobs have been created, which brings the total number of jobs to approximately 650,000 since pre-crisis levels.  \lineBreak That is a fantastic budget from the past to the future. We will continue our progress."
915,"Mr. Speaker, two days after the announcement of the construction of a new Champlain Bridge, south shore and Montreal families are still in the dark. They do not know exactly when they will have a safe bridge or how much it will cost. All they know is that they are going to have to bear the financial burden of the bridge. \lineBreak Why does this government want to penalize families and workers who have no choice but to use the Champlain Bridge?","Mr. Speaker, this week, the "
916,"Mr. Speaker, the Champlain Bridge is a vital route for south shore and Montreal families. The bridge is free to cross but the Conservatives want to make people pay to use it. \lineBreak When will this government pay attention to all Canadians instead of just to those who have the means to be heard?","Mr. Speaker, first, I would like to thank the hon. member because it was his idea to have a toll system. He said, “In terms of tolls, it's still to be seen. Like we've always said, we're open.” He also said, “With regard to the Champlain Bridge's replacement, we're not dismissing the idea of tolls.” He had a good idea: to implement a toll. We listened to him and used his idea. I congratulate him, but now I would like to know why he has changed his mind. "
917,"Mr. Speaker, the government still refuses to say whether a viable public transit plan will be part of the new Champlain Bridge. First it is making Montreal and the south shore families foot the bill, and now it is ignoring 18,000 public transit passengers who cross that bridge each day. \lineBreak The government members are so out of touch with the needs of Montreal and the south shore, we have to wonder whether they have ever been there. Why will the government not commit to a vital public transit plan for the Champlain Bridge?","Mr. Speaker, here is another NDP member with an excellent idea. The NDP transport critic, the hon. member who just spoke on the matter, has said, and I quote, “...as a party, we are not against PPPs”. He also said that in some cases tolls make sense. I congratulate him again on these great ideas. We listened to him and we thank him for giving his opinion on the matter. "
918,"Mr. Speaker, that is not exactly the answer I was looking for. I was talking about public transit. \lineBreak Why has the government not made any plans for public transit on the new Champlain Bridge? Every day, 400 buses carry 18,000 passengers across the bridge. There is a great demand. The minister keeps saying that it is a provincial responsibility, while repeating that the project is 100% federal. When will this government adopt a plan for public transit?","Mr. Speaker, prior to the announcement made by our great minister, the NDP had suggested a toll system to pay for the Champlain Bridge. That is why many people are now saying that the new name for the NDP should be “new duty to pay”. So I would like to thank the NDP member for suggesting this excellent idea. In the end, it is the Conservatives who are taking action and getting results for Montrealers and Canadians."
919,"Mr. Speaker, it has been a tough week for the  \lineBreak When will the government recognize this?","Mr. Speaker, we do not agree with the energy directive that has come out from the EU. \lineBreak We are going to continue to work to represent and to protect Canadian oil sands interests and Canadian economic interests. We will stand with the workers. We will stand with the industry. We are going to protect the environment at the same time."
920,"Mr. Speaker, yesterday the  \lineBreak Would the minister please table in this House a list of these so-called responsible journalists so we can know to whom the government is actually talking about its failed environmental plans?","Mr. Speaker, our government is squarely focused on what matters to Canadians: jobs, economic growth and protecting the environment. \lineBreak We are proud of the work of our scientists within Environment Canada. Ministers speak for the environment. That is what is laid out in our communication policy, and that is why we take questions in question period."
921,"Mr. Speaker, in September, a 23-year-old woman was fatally shot on the Samson Cree Nation. She was killed in the house next door to where five-year-old Ethan Yellowbird was killed just two months earlier. \lineBreak Youth gangs are responsible for the increasing violence in a community where youth are disaffected and hopeless. \lineBreak If the government is truly sincere about assisting the most vulnerable, why does it persist in spending billions on prisons instead of investing in programs to prevent youth crime in first nations?","Mr. Speaker, the member talked about the situation with the Samson Cree. I did meet with the chief. He has been collaborating with the RCMP. The community has some very good plans. We have agreed to collaborate with that first nation and help finance some of the work that needs to be done. This is to break up the criminal element from being able to operate in the way that it was. \lineBreak We are making progress and working collaboratively with that first nation."
922,"Mr. Speaker, as the minister has attested, the Samson Cree Nation initiated a joint review with the RCMP, the government and experts to address crime, which is among the highest in Canadian aboriginal communities. \lineBreak The key recommendation supported by all parties was to provide a youth centre to provide programs to divert youth from gangs. The first nation is begging the government to fully cost share with it. It is struggling to find other funders. \lineBreak Instead of spending billions more on jailing criminals after the fact, why will the government not offer more than one-fifth of the cost to build this centre and prevent more aboriginal victims of crime?","Mr. Speaker, we do believe in working in partnership with the first nations. \lineBreak The first nation, with its original proposal, talked about cost sharing. We are prepared to enter into cost-sharing agreements. We have done so. I think the actions we have agreed to take are appropriate for the circumstances."
923,"Mr. Speaker, the measure announced by the government to phase out subsidies to political parties is itself partisan. The Conservative Party is using a parliamentary rule to crush political parties who do not benefit from the visibility of being in power to raise funds. \lineBreak Will the government, before this House, commit to respecting usual parliamentary procedure for the debate on eliminating political subsidies?","Mr. Speaker, in 2006 our government took big business and big labour out of politics with the Federal Accountability Act. \lineBreak We are acting quickly to continue bringing transparency to government by phasing out the direct subsidy of political parties. We think money should come from voters, not from corporations, not from unions, and not from government. \lineBreak Political parties should do their own fundraising and not live off taxpayer-funded handouts."
924,"Mr. Speaker, it is now a full year since the rail freight service review was completed. It is over six months since the government promised to implement it. In March the government said it would work with all parties to draft legislation giving shippers the right to enforceable contracts with the railways. Now the government is suggesting a process to avoid legislation.  \lineBreak Which is it: enforce shippers' rights or avoid shippers' rights? I ask for the fourth time, will the legislation be introduced this year?","Mr. Speaker, in March of this year our government announced a comprehensive strategy that responds to the findings of the rail freight review. Our government is following up on its commitments to improve the performance of the rail-based supply chain. Stakeholders, all parties and certainly ours, everyone in the commercial sector and people who rely on rail freight will work together to make sure that we can have an efficient and effective rail freight operation in our country. We will be naming a facilitator for this process shortly."
